date	op1_price	op2_price	p_price	op1_load	op2_load	p_load	op1_wind	op2_wind	p_wind	op1_res	op2_res	p_res	op1_wind_pen	op2_wind_pen	p_wind_pen	op1_res_pen	op2_res_pen	p_res_pen	op1_exp	op2_exp	p_exp	p_solar	p_solar_pen
19/01/12	3.609058076	3.777519712	3.934306214	10.85170322	10.95782571	11.14192941	9.267321659	9.415580815	9.203659186	9.267335828	9.415580815	9.239613171	-1.559279463	-1.533499485	-1.937918581	-1.559268625	-1.533499485	-1.902240021	1.330625	1.3175	0.861583333	5.89617468	-5.253231592
20/01/12	3.502512225	3.788498519	3.883726406	10.84556786	10.96978324	11.11287194	9.698758487	8.99788574	9.443961706	9.698804314	8.99788574	9.539554067	-1.130244319	-1.970342573	-1.668338999	-1.130208904	-1.970342573	-1.572823969	0.91625	-0.09175	0.63025	7.144476239	-3.968673044
21/01/12	3.629361641	3.39802569	3.691791876	10.75213361	10.81593591	10.9391201	9.000462195	9.917868154	9.737655297	9.000476458	9.917868154	9.750698948	-1.75035423	-0.894661429	-1.20069818	-1.750340512	-0.894661429	-1.187700884	-1.343125	1.023	-0.695416667	5.404730453	-5.53720644
23/01/12	3.537838517	3.720317557	3.938259142	10.7858569	10.99404247	11.13548643	9.000336059	8.374191958	8.630743727	9.000456721	8.374191958	8.800352112	-1.740376031	-2.619471316	-2.50436155	-1.740290815	-2.619471316	-2.335382107	-0.438	0.73575	-0.686416667	6.942483142	-4.196660575
24/01/12	3.683804096	3.879086505	4.026125201	10.87782311	11.01318814	11.13941435	8.12941045	7.34081772	7.644307116	8.129739217	7.34081772	8.186362346	-2.727785662	-3.671219198	-3.494165241	-2.727528646	-3.671219198	-2.952174209	-1.314	-0.7975	-1.242916667	7.315160171	-3.82346561
25/01/12	3.729901429	3.780261474	3.949784321	10.89488112	11.01703361	11.13624337	7.005100319	8.558725174	7.914825945	7.007447887	8.558725174	8.575406045	-3.891216988	-2.45209819	-3.222125866	-3.889325516	-2.45209819	-2.561371962	-1.79875	-0.07475	-0.796666667	7.848595361	-3.287996974
26/01/12	3.667176898	3.784984772	3.903839613	10.89129397	10.98650809	11.13129773	8.727693553	9.111831607	9.095465572	8.72874522	9.111831607	9.458541022	-2.162539716	-1.875489901	-2.035559282	-2.16168455	-1.875489901	-1.673694685	-0.58425	1.2495	1.334583333	8.269345319	-2.865662023
27/01/12	3.693680411	3.836221292	4.012169954	10.86406547	10.97608093	11.11602359	8.74423115	8.093094043	8.274367206	8.744429855	8.093094043	8.613285717	-2.098755888	-2.883203884	-2.842510294	-2.098599916	-2.883203884	-2.504013699	0.718875	0.3865	-0.438333333	7.36661238	-3.751733627
28/01/12	3.66179727	3.788045826	3.912039672	10.76869813	10.85224063	10.93553705	7.604695258	7.69354431	7.525856483	7.605322365	7.69354431	8.056129085	-3.165216277	-3.158020221	-3.40966334	-3.164599416	-3.158020221	-2.879303733	0.674375	2.5425	1.070833333	7.1683176	-3.76699083
29/01/12	3.593744259	3.739513156	3.800476731	10.64912637	10.84310899	10.83156027	7.913550735	8.760233483	8.436318402	7.91428997	8.760233483	8.7318778	-2.728521822	-2.082302651	-2.400561369	-2.727753993	-2.082302651	-2.10314683	1.497375	2.498	1.882833333	7.368849809	-3.460799531
30/01/12	3.573293222	3.724367247	3.932740247	10.80396897	11.00166225	11.12577659	8.933012014	9.087531289	9.075624469	8.933538891	9.087531289	9.314338911	-1.859160423	-1.913474113	-2.049497832	-1.858757497	-1.913474113	-1.812169594	1.739125	2.4975	2.311916667	7.764867676	-3.366799077
31/01/12	3.710732674	3.842297723	4.000811968	10.88937664	11.0261215	11.11880823	9.091375232	8.96591828	9.096194806	9.091929092	8.96591828	9.349634451	-1.788576614	-2.061513756	-2.021947172	-1.788127286	-2.061513756	-1.768762458	2.358375	2.49675	2.403333333	7.852959945	-3.266321262
01/02/12	3.759862012	3.849136452	4.062868228	10.9183717	11.03379229	11.13325602	8.82537783	8.921831291	8.884569834	8.826635808	8.921831291	9.282640995	-2.083693602	-2.112376449	-2.247735044	-2.082658936	-2.112376449	-1.850233138	2.279375	2.459	1.808833333	8.16907475	-2.964964631
02/02/12	3.844386357	3.988937749	4.324452693	10.94618183	11.08121905	11.16499787	8.534118399	7.886782284	8.08083605	8.534673762	7.886782284	8.806786873	-2.396945585	-3.195108554	-3.083442347	-2.396491632	-3.195108554	-2.359089135	2.216125	2.05375	1.4955	8.145401346	-3.021974703
03/02/12	3.912572854	3.94163035	4.345200552	10.96926884	11.06270878	11.16151995	7.794492064	8.038184337	8.172061839	7.797395007	8.038184337	8.82062139	-3.175507897	-3.024956482	-2.989073331	-3.173051378	-3.024956482	-2.345048087	2.65275	2.8	2.4845	8.080805366	-3.089855387
04/02/12	3.815594701	3.864983807	4.035773386	10.8779387	10.96086109	11.00551484	7.79924653	7.87179468	7.830633598	7.80227626	7.87179468	8.727006691	-3.072922675	-3.08895366	-3.171993259	-3.06985406	-3.08895366	-2.279701233	2.8	2.8	2.638583333	8.202678774	-2.806852052
05/02/12	3.727318612	3.880532338	3.802170936	10.7933034	10.95585955	10.91599563	8.053637132	8.411350893	8.194549695	8.056500481	8.411350893	8.98031292	-2.729876274	-2.5443326	-2.720856105	-2.726828287	-2.5443326	-1.934356334	2.8	2.8	2.8	8.371926446	-2.542126395
06/02/12	3.953524769	4.28706327	4.594075534	10.92485651	11.10133413	11.17886897	8.130803608	8.309079868	8.07950495	8.133102269	8.309079868	8.774315729	-2.782802861	-2.791657239	-3.098912839	-2.780947719	-2.791657239	-2.407814228	2.749125	2.37275	2.256083333	8.082829384	-3.103014183
07/02/12	4.086774313	4.144324495	4.559344374	11.00116399	11.10299289	11.19240679	7.97947416	8.811210032	8.573268973	7.980649466	8.811210032	8.912893613	-3.021813769	-2.291148166	-2.619095561	-3.02080852	-2.291148166	-2.280164468	2.8	2.5	2.572083333	7.667968448	-3.526806617
08/02/12	4.024793499	4.523336292	4.867059979	10.99078608	11.10825254	11.19414824	8.625481741	7.722261317	8.108225958	8.627253035	7.722261317	8.840803905	-2.356250059	-3.385900022	-3.086065778	-2.354759986	-3.385900022	-2.355039398	3	2.7	2.522583333	8.185591508	-3.011689999
09/02/12	4.019576116	4.228110302	4.532527806	10.98603397	11.0852991	11.17862919	8.217894911	8.517127189	8.95050204	8.221530357	8.517127189	9.233306943	-2.779553425	-2.571002227	-2.228124751	-2.776420416	-2.571002227	-1.946862	3	2.5	2.541666667	7.832236709	-3.352665338
10/02/12	4.174560332	4.10754867	4.618563428	10.9859874	11.08037946	11.166684	8.080731876	7.672127172	7.75934641	8.083480218	7.672127172	8.650508967	-2.894382412	-3.409158292	-3.406046373	-2.892053882	-3.409158292	-2.517975401	3	2.8	2.621416667	8.122573434	-3.048066559
11/02/12	3.770517043	3.997558294	4.082539039	10.89073057	10.9662913	11.00435979	7.508576074	7.270845104	7.409176823	7.516067349	7.270845104	8.575030009	-3.381057189	-3.695826708	-3.591966325	-3.373368309	-3.695826708	-2.430277347	3	3	3	8.201562503	-2.805635973
