week	dk2_price_vol	dk2_load_vol	dk2_wind_vol	dk2_pen_vol	dk2_exim_vol	dk2_load	dk2_wind	dk2_pen	dk2_exim
1	4.443986787	4.726747717	5.275845991	-2.216925411	5.351313114	7.613351434	5.537685724	-2.012735728	0.755699405
2	2.551822117	4.740717988	4.764757	-2.767223363	5.095826329	7.599830457	5.653178166	-1.89995147	0.778679762
3	-0.050705261	4.416352536	4.755831162	-2.747504518	5.142380426	7.584488726	5.218649093	-2.339778383	0.340242857
4	2.558739771	4.554605235	4.867311295	-2.726843315	5.36912468	7.581601314	5.401335856	-2.147770793	0.357407143
5	2.041594916	4.65662387	5.048592998	-2.514275628	4.842406674	7.559702169	5.425893562	-2.125506084	0.619829167
6	1.107038156	4.603856355	4.800658238	-2.794945308	4.962761885	7.566582101	4.943171865	-2.61348695	0.571417857
7	2.125011866	4.561647858	4.720213291	-2.741251201	5.662356026	7.57014252	5.009722179	-2.509590812	0.723542857
8	4.952060924	4.648027025	4.222218313	-3.248225822	4.928978044	7.540498238	5.139886707	-2.377062168	1.064003571
9	0.862235052	4.712058989	4.724028264	-2.902999161	4.761229768	7.530502348	5.278721861	-2.248899789	0.918559524
10	1.938032178	4.915392713	4.650830517	-2.758797572	5.301571656	7.528542958	4.676826175	-2.782091902	0.77906131
11	2.130494449	4.670641475	3.792316068	-3.621990214	5.196799235	7.505390771	5.0267742	-2.479232915	0.664332738
12	1.607461092	4.399047173	4.528325233	-2.833015584	5.044331583	7.466882853	5.0970678	-2.326494957	0.50371369
13	1.022446453	5.021554144	4.195349636	-3.043081508	4.659153763	7.377706824	5.406771307	-1.940709691	0.52497381
14	1.710700226	4.79888803	4.168304094	-3.208042948	4.678273246	7.377226773	4.912742417	-2.457468408	0.364954762
15	1.232620594	4.541917227	4.745854774	-2.629840016	5.213448581	7.403372989	5.094407303	-2.282193271	-0.019504762
16	1.528181708	4.765714532	4.634871613	-2.802237927	5.407734912	7.377260272	5.148393851	-2.243193071	0.172267857
17	1.498051891	4.875937946	4.315931226	-3.123205574	4.336266775	7.345015091	4.838499778	-2.498240725	-0.054868452
18	1.847424524	4.654018396	5.12549181	-2.271956731	5.327939081	7.350967182	5.32001479	-2.063911868	-0.300695238
19	2.480838708	4.610016377	5.011818983	-2.258511052	5.553857647	7.318902625	5.160695989	-2.128205603	-0.4087125
20	2.056737569	4.54960498	4.514125134	-2.804468282	5.568904193	7.330565125	4.904833764	-2.397355177	-0.946098214
21	2.219644071	4.639359901	5.173597027	-2.155242233	5.754496976	7.304075525	5.365642181	-1.894491112	-0.534310119
22	1.30461173	4.569601397	4.811077853	-2.555871446	5.444379784	7.302331958	4.771188936	-2.540545339	-0.844477381
23	2.15346353	4.539949662	5.245753152	-1.922159839	5.600881817	7.309379688	5.369363684	-1.869721733	-0.702379762
24	1.79678094	4.791929856	4.446744609	-2.759806146	4.746769638	7.307338041	4.444260605	-2.794153424	-0.534800595
25	1.574339265	4.534196289	3.280397701	-3.827364515	5.521123204	7.252045515	3.56634183	-3.651085145	-0.999771429
26	1.166295591	4.498372478	3.350441466	-3.942648077	5.518402889	7.257132828	3.903174448	-3.340828211	-0.75358631
27	1.265527663	4.390980541	3.868280016	-3.425130946	5.376990561	7.274652794	4.139443114	-3.112763434	-0.638675
28	1.193691951	4.516025181	4.039796315	-3.112699981	5.539751505	7.270089181	4.687627558	-2.548201395	-0.541935119
29	1.531191994	4.30320712	4.709955673	-2.382143275	5.876756764	7.21482848	4.751689782	-2.392772119	-0.638619643
30	1.718686635	4.17340948	4.881081414	-2.345366374	5.246781424	7.195473065	4.947408082	-2.235166587	-0.711176786
31	1.505678856	4.541805437	3.083200474	-4.149529951	5.40176274	7.224363152	3.781751599	-3.429414512	-0.877091071
32	0.454379431	4.585554399	3.254456956	-3.82472082	5.442921867	7.278616618	4.256541019	-2.976721795	-0.495864286
33	3.155762819	4.508184027	4.161052712	-3.19323364	3.632577123	7.305804065	4.933831383	-2.354691888	-0.162620833
34	2.649956483	4.608803892	5.366043683	-1.973729016	5.397793484	7.313700431	5.357316017	-1.950722062	-0.094891071
35	0.206695867	4.471598332	4.046193291	-3.362441266	4.335612693	7.318650064	4.418338474	-2.927942096	0.172529167
36	0.529828725	4.692189411	5.091340336	-2.301274955	5.370012064	7.345518538	5.286973506	-2.080524012	0.330075595
37	0.859370597	4.633506957	4.95905742	-2.341263238	5.405947215	7.349165748	5.871681745	-1.450213567	0.571566667
38	0.898482522	4.558358209	4.760375809	-2.60461592	5.574245387	7.3650671	4.898417103	-2.443739806	0.358551786
39	1.222696497	4.418237102	4.759565202	-2.4906871	6.058489146	7.358603393	5.447968141	-1.864363731	0.377474405
40	0.508018786	4.337541837	4.866587717	-2.484186978	5.806751535	7.367362794	5.293633797	-2.038883408	0.123294643
41	1.07413482	4.344623677	4.140206386	-3.162014442	5.781455336	7.371043703	4.051267215	-3.259334598	0.0151625
42	0.932982325	4.429109743	3.553761369	-3.638117274	5.739725343	7.386577794	5.591741848	-1.760423807	0.674977381
43	1.326461959	4.71136511	4.603540417	-2.902539978	4.658898375	7.402202797	5.156034869	-2.239413139	0.568410476
44	-0.189675247	4.596925536	5.070600652	-2.350163455	5.216843769	7.406175704	5.241179961	-2.159054487	0.356439286
45	1.292693155	4.844943439	5.104550749	-2.305166326	6.035269636	7.479060976	5.651716116	-1.790458262	0.473151786
46	0.482410251	4.665963983	4.776678278	-2.720260502	5.171592184	7.485965815	5.044231244	-2.437555068	0.1544125
47	1.979989361	4.616268323	4.790310431	-2.69112547	5.671686324	7.540400226	5.142429067	-2.365552968	0.210376786
48	2.8092528	5.018870797	4.866889059	-2.800766802	5.066036817	7.614256351	5.513356739	-2.076186425	0.523825
49	4.026149075	4.892227283	5.071205867	-2.467601064	5.731303158	7.618175045	5.12020124	-2.436265165	0.5355375
50	3.364070228	4.460449105	4.196955616	-3.422157975	5.010699028	7.615741223	4.434000501	-3.167757964	0.804994048
51	2.997961058	4.937381851	4.339422243	-3.173526171	5.23467161	7.604538698	4.640950923	-2.915257225	1.055766667
52	2.193478796	4.578249644	4.61149164	-2.832285708	4.231132924	7.575811122	4.123363845	-3.341516079	0.783730833
53	1.154632501	4.204953778	3.816229815	-3.662275755	4.705791542	7.466759769	4.72837062	-2.711438667	0.360272222
54	2.625983119	4.560945606	4.363251985	-3.190364916	4.272429864	7.607807139	5.045036721	-2.529356994	0.912734524
55	2.33469683	4.588842193	4.352705088	-3.128952688	5.462219539	7.570062718	4.962469935	-2.5601684	0.750885714
56	1.259595173	4.608790663	3.322943635	-4.153885432	4.129037365	7.559556394	3.776585035	-3.732168627	0.591766071
57	1.101911759	4.594012631	3.473086444	-4.035786456	5.350436912	7.569943004	3.821759593	-3.712698778	0.453464286
58	2.513413874	4.676639274	4.848307043	-2.663371959	5.542390125	7.568151723	5.457836265	-2.08107701	0.352100595
59	1.701989457	4.301103285	4.797824423	-2.755519284	4.980563635	7.552381009	5.334098104	-2.190228841	0.698879167
60	1.3397673	4.555608403	4.949425024	-2.624794879	4.389107516	7.563447805	5.422140326	-2.133912162	0.837295238
61	1.63406931	4.650462275	4.32488248	-3.153659694	4.176699861	7.576862833	4.980707773	-2.561976872	0.904253571
62	1.586097366	4.742670418	4.138876685	-3.346046845	5.314053999	7.551640309	4.100870839	-3.40386202	0.4526875
63	0.855509267	4.741175985	5.345480606	-2.18563142	5.097239242	7.506761834	5.528318305	-1.988444054	0.39325
64	1.457598065	4.844157298	4.665635534	-2.832591178	5.557662056	7.480676711	5.04077183	-2.431586516	0.280191667
65	0.99033239	4.8098482	4.530122525	-2.937335468	4.683424255	7.423292998	4.981770299	-2.464686116	0.489645238
66	0.910151825	4.690064069	4.264332566	-3.143581863	4.60584769	7.402034041	4.719242642	-2.646478741	0.606319643
67	1.567534517	4.643626259	5.361209637	-2.042999615	5.061945815	7.389902142	5.615081359	-1.774988988	0.450858333
68	0.946190185	4.874585501	4.659283808	-2.779544707	6.054961461	7.382565049	4.654527083	-2.733189877	-0.109030357
69	1.977760079	4.754530672	4.637080145	-2.543236301	5.258678552	7.261747461	4.612110333	-2.582847834	-0.654216071
70	1.82894526	4.884599262	4.404359545	-2.860701084	5.683936764	7.267504659	4.854584662	-2.397926363	-0.421184524
71	1.174702288	4.626638337	4.225018079	-2.968333973	5.558110174	7.31513918	4.610927391	-2.661008158	-0.308516667
72	0.223851295	4.717547709	3.91400226	-3.354766332	5.722820237	7.317595722	4.388700742	-2.903564622	-0.357258929
73	0.254717682	4.832627045	4.644673368	-2.684618915	5.596968248	7.284008152	4.823970988	-2.455417752	-0.468377381
74	0.605405366	4.670782137	3.896120567	-3.406988149	5.60256091	7.304031473	5.393492256	-1.894311326	-0.306293452
75	1.41721475	4.620988893	4.231492993	-3.074931541	5.169831067	7.27579457	4.416327412	-2.84575897	-0.424049405
76	1.4789678	4.75833036	4.028529218	-3.256408191	5.062194076	7.270151326	4.149538968	-3.105787166	-0.85539881
77	2.260162316	4.573330019	3.594135448	-3.659494802	5.865543574	7.243295959	4.269780696	-2.979736674	-0.635159524
