date	de_price_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_op1_exim	de_op2_exim	de_p_exim
07/02/12	3.268743943	11.11738346	8.462912633	6.975891228	8.666706134	-2.66599207	-4.218843408	-2.474014248	2.8	2.5	2.572083333
08/02/12	3.80220715	11.11612459	8.2673117	7.494277603	8.646850522	-2.812186336	-3.70292434	-2.468346451	3	2.7	2.522583333
09/02/12	3.355894561	11.10256213	8.68688927	7.142653802	8.880377429	-2.438438989	-4.042108734	-2.255153758	3	2.5	2.541666667
10/02/12	3.707378622	11.09531186	7.865888764	7.431184271	8.365121024	-3.205418149	-3.739403037	-2.744036513	3	2.8	2.621416667
11/02/12	2.585181707	10.96142179	7.422393127	7.510919057	8.160782558	-3.531976974	-3.495893056	-2.820625087	3	3	3
12/02/12	2.059696825	10.87295959	8.005444503	7.527073022	8.487742195	-2.87421025	-3.377962008	-2.401548054	3	3	3
13/02/12	3.517025231	11.08076083	7.978646018	6.599644567	8.203252413	-3.093239044	-4.581636074	-2.889699023	2.83575	2.1895	0.841666667
14/02/12	2.919850618	11.07877985	8.634429337	6.578118916	8.754809078	-2.432198847	-4.597655037	-2.32361569	2.432375	1.65	0.683333333
15/02/12	2.441793531	11.02709119	9.817299041	6.829472965	9.866467112	-1.194061018	-4.293900378	-1.149990125	1.2	1.275	1.2
16/02/12	2.55923074	11.04621441	8.694609682	7.031114406	8.86812218	-2.315700151	-4.114164605	-2.162504578	2.1925	2.5	2.904166667
17/02/12	2.293160831	11.00187065	9.050203309	6.334478953	9.114263917	-1.923259386	-4.767050251	-1.866685686	1.8	3	2.425
18/02/12	1.97041309	10.85504407	9.192676616	6.613524589	9.265776774	-1.670408267	-4.314180392	-1.601729024	2.875	1.5	1.841083333
19/02/12	2.441676201	10.73719889	9.444510408	7.329182178	9.558369042	-1.280291556	-3.451208528	-1.172268917	1.8	2.5	2.34325
20/02/12	2.727986631	10.97118234	8.687633613	7.854451138	9.048564132	-2.246829702	-3.225434272	-1.927768748	2.5	2.15	2.687333333
21/02/12	2.439685474	10.99881389	9.418855988	7.580075514	9.566423239	-1.564728241	-3.510373583	-1.431163743	1.725	2.5	1.900166667
22/02/12	2.015425852	11.01288385	9.351826081	7.898249859	9.561870542	-1.657147623	-3.214831468	-1.466012237	2.494375	1.2695	1.720416667
23/02/12	2.723217548	10.99371969	9.652319381	6.600520231	9.698509784	-1.299621946	-4.499145636	-1.259649953	1.231875	1.7945	1.895416667
24/02/12	2.243197732	10.95831194	9.677426233	6.807877852	9.732600299	-1.265219916	-4.263872808	-1.216568636	1.494375	1.4945	1.495416667
25/02/12	1.946620994	10.76519978	9.468444936	7.490459025	9.598022674	-1.291693839	-3.353597001	-1.171946835	1.788125	1.7945	1.763666667
26/02/12	2.373299524	10.71606548	8.388821133	7.203495733	8.655519611	-2.259285751	-3.568661758	-2.020277926	2.494	2.9665	2.288416667
27/02/12	2.179706589	10.99732178	8.203032638	7.477873933	8.597940689	-2.815331842	-3.642663539	-2.45262508	1.48125	2.9945	2.805916667
