BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
06.01.2015;23:00;UTC;07.01.2015;01:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;400;450;800;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
07.01.2015;14:30;UTC;07.01.2015;19:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;140;140;630;TransnetBW;TenneT DE;Vorarlberger Illwerke AG;Sonstiges
07.01.2015;14:30;UTC;07.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;259;400;2200;50Hertz;50Hertz & TenneT DE;Schkopau;Konventionell
07.01.2015;14:30;UTC;07.01.2015;19:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;60;60;270;TenneT DE;50Hertz & TenneT DE;Statkraft KW-Pool;Konventionell
07.01.2015;18:45;UTC;07.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;124;200;525;TenneT DE;50Hertz & TenneT DE;Gebersdorf 1;Konventionell
07.01.2015;19:00;UTC;07.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;800;50Hertz;50Hertz & PSE;Jänschwalde;Konventionell
07.01.2015;19:45;UTC;07.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;254;300;825;TenneT DE;50Hertz & TenneT DE;Ingolstadt 3;Konventionell
07.01.2015;23:00;UTC;08.01.2015;05:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;60;60;360;TenneT DE;50Hertz & TenneT DE;Ingolstadt 3;Konventionell
07.01.2015;23:00;UTC;08.01.2015;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;101;120;705;TenneT DE;TenneT DE;Ingolstadt 3;Konventionell
07.01.2015;23:00;UTC;08.01.2015;05:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;60;60;360;50Hertz;50Hertz & TenneT DE;Lippendorf Vattenfall;Konventionell
